url_produk,nama_produk,harga_produk,jumlah_terjual,rating,nama_toko,marketplace
https://www.tokopedia.com/padifoodie/renginang-khas-bogor-rasa-bawang-terasi-dan-ketan-item-khas-bogor-cita-rasa-unik-dan-otentik-1734112185295079133?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Renginang Khas Bogor Rasa Bawang Terasi dan Ketan Item Khas Bogor Cita Rasa Unik dan Otentik,24000,4,0,Padifoodie,tokopedia
https://www.tokopedia.com/aa-shop90/kopi-cap-teko-tanpa-gula-khas-bogor-15sachet-1731961892047652317?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Kopi Cap Teko Tanpa Gula  Khas Bogor 15sachet,19250,250,4.9,AA-shop90,tokopedia
https://www.tokopedia.com/noga-sari/500-gr-noga-teng-teng-kacang-khas-bogor-caramel-dan-kacang-1730902708557612763?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,"500 gr - NOGA TENG-TENG KACANG KHAS BOGOR, Caramel dan Kacang",33500,30,4.5,Noga Sari,tokopedia
https://www.tokopedia.com/arsyfaqia/manisan-kelapa-kering-khas-bogor-1729980593596434812?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,manisan kelapa kering khas Bogor,35000,30,0,ArsyfaQia,tokopedia
https://www.tokopedia.com/djadjasnack/enting-enting-kacang-khas-bogor-awet-2-3-bulan-200gr-1kg-1733891167834244721?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Enting-Enting Kacang khas bogor Awet 2-3 Bulan 200gr-1kg,13400,40,3,DJADJASNACK,tokopedia
https://www.tokopedia.com/florantara-tok/kopi-khas-bogor-kopi-cap-teko?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,kopi khas Bogor kopi cap teko,1500,100,5,floranta,tokopedia
https://www.tokopedia.com/kopihas/kopi-khas-bogor-kopi-cap-teko?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,kopi khas bogor kopi cap teko,28000,7,5,pro spareparts,tokopedia
https://www.tokopedia.com/dzolshop2/roti-unyil-venuss-oleh-oleh-khas-bogor-isi-10-pcs?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Roti Unyil Venuss oleh-oleh khas Bogor Isi 10 pcs,30000,60,5,Syaqila az,tokopedia
https://www.tokopedia.com/pialestari/pia-lestari-oleh-oleh-khas-bogor-1731296007485032319?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Pia Lestari Oleh-Oleh Khas Bogor,46500,750,5,Pia Lestari,tokopedia
https://www.tokopedia.com/doa-restu-snacks/rangginang-oleh-oleh-khas-bogor-isi-30-keping-dores-snacks-cemilan-kering-1730071427263399866?extParam=ivf%3Dfalse%26keyword%3Doleh+oleh+khas+kabupten+bogor%26search_id%3D202602110814263AD7C2EBB96FCB1ACDS2%26src%3Dsearch,Rangginang Oleh-oleh Khas Bogor Isi 30 Keping - DORES Snacks Cemilan Kering,24900,10,4.8,Doa Restu Snacks,tokopedia
